achieved,achieved_mrad,angle_per_aperture_mrad_per_um,aperture_diameter_um,branch,constraint_unit,constraint_value,focus_valid,iterations,nominal_target_mrad,numerical_spread,relative_log_error,scaling_valid,solve_seconds,strength_condenser_lens_2_percent,strength_condenser_lens_3_percent,strength_diffraction_lens_percent,strength_intermediate_lens_percent,strength_objective_lens_percent,strength_projector_lens_1_percent,strength_projector_lens_2_percent,table,target,target_mrad,unit,valid,waist_offset_mm
,47.79810766661937,,160.0,,,,,33,,0.0,0.0042149607585768014,,29.090465100001893,63.89329988054725,21.298750512782505,,,,,,nanoprobe_solved_continuation,,48.0,,True,-1.4116143045062307e-12
,52.33638651396406,,180.0,,,,,0,,0.0,0.03129219055468743,,3.8755527999965125,63.89329988054725,21.298750512782505,,,,,,nanoprobe_solved_continuation,,54.0,,True,-5.380344231573102e-06
,59.999976795895044,,200.0,,,,,33,,0.0,3.867351574067986e-07,,29.17807619999803,61.96841353634666,21.35551459009997,,,,,,nanoprobe_solved_continuation,,60.0,,True,-8.891597896335746e-13
10.000000240055199,,,,lm,um,0.004051036171022892,,,,2.521708594688239e-08,2.4005519506068806e-08,,,,,14.01257768,2.98901286561065,0.0,30.97264506,4.32756939,image_magnification,10.0,,x,True,
99.99999818334088,,,,lm,um,4.0422287187770273e-07,,,,1.8166657628505792e-08,1.816659139634032e-08,,,,,13.423630084108808,0.13043570961512,0.00043282365609445983,94.14235148467097,10.762156464164768,image_magnification,100.0,,x,True,
999.9999923797327,,,,lm,um,2.89496646744959e-05,,,,7.61887628308187e-09,7.620267335086378e-09,,,,,17.272292632305287,28.11017373358856,5.063418201089e-05,66.04255765371036,62.538011134163156,image_magnification,1000.0,,x,True,
9999.999644243808,,,,normal,um,6.84477960541599e-08,,,,3.557570834488846e-08,3.557561986110203e-08,,,,,29.117123743024422,6.99908271297041,24.75306561309765,64.47894335554084,31.964194166194847,image_magnification,10000.0,,x,True,
100000.00152099953,,,,normal,um,5.639418022125801e-07,,,,1.5210142360621985e-08,1.5209995147604733e-08,,,,,33.55531594364167,0.12225542814428,24.738733549476926,79.10405198628884,47.98821019307529,image_magnification,100000.0,,x,True,
1000000.013915908,,,,normal,um,6.203419350437117e-06,,,,1.3918245948881173e-08,1.391590788467253e-08,,,,,33.62896274978043,28.64043037317458,24.743813294547095,92.22927965735596,76.20941599186783,image_magnification,1000000.0,,x,True,
0.005000599591091719,,,,camera_length,dimensionless,0.0007537267670516359,,,,2.0141132652033274e-08,0.00011991102872901022,,,,,16.32115954,98.3856483,,48.82683138,24.62908381,tem_diffraction_camera_length,0.005,,m,True,
0.050000001414412486,,,,camera_length,dimensionless,4.563088646871699e-06,,,,2.8264049883694952e-08,2.8288249342545893e-08,,,,,14.64526109578748,0.01586898291823792,,27.179426927557408,14.987915959343525,tem_diffraction_camera_length,0.05,,m,True,
0.09998635115666146,,,,camera_length,dimensionless,7.1662772113978394e-06,,,,4.529751882436614e-08,0.00013649774877929146,,,,,14.4149455,0.00120650723,,34.0234814,9.88514595,tem_diffraction_camera_length,0.1,,m,True,
0.2500002981600551,,,,camera_length,dimensionless,1.0883916515705698e-06,,,,2.0493170255789933e-08,1.1926395091651374e-06,,,,,19.63904162,19.63010251,,0.77162651,46.12967606,tem_diffraction_camera_length,0.25,,m,True,
0.5000038897627509,,,,camera_length,dimensionless,1.0758402051302775e-05,,,,3.3469893157719596e-08,7.779495241442707e-06,,,,,19.4676207,19.9226047,,0.0153893906,65.2384486,tem_diffraction_camera_length,0.5,,m,True,
1.0000218585715703,,,,camera_length,dimensionless,3.229613311366385e-05,,,,2.458807746168778e-08,2.1858332675238048e-05,,,,,13.50512151,5.63031688,,63.99418341,50.20615765,tem_diffraction_camera_length,1.0,,m,True,
2.491624591469462,,,,camera_length,dimensionless,4.8435064011802375e-05,,,,1.971487443918592e-08,0.003355787774862001,,,,,13.48846756,5.68013548,,64.05715196,88.7404624,tem_diffraction_camera_length,2.5,,m,True,
